Date,Region,Province,Prize,Numbers
2026-06-05,MB,Hà Nội,ĐB,46180
2026-06-05,MB,Hà Nội,1,31628
2026-06-05,MB,Hà Nội,2,82449
2026-06-05,MB,Hà Nội,3,55670 - 48238 - 10240 - 42306 - 04068 - 77188
2026-06-05,MB,Hà Nội,4,63268 - 59389 - 96973 - 72134 - 53939 - 09255
2026-06-05,MB,Hà Nội,5,93797 - 17990 - 26942
2026-06-05,MB,Hà Nội,6,76092 - 38095 - 64744
2026-06-05,MB,Hà Nội,7,85017 - 15217 - 58465 - 27670
2026-06-05,MT,Đà Nẵng,ĐB,86871
2026-06-05,MT,Đà Nẵng,1,28710
2026-06-05,MT,Đà Nẵng,2,23640
2026-06-05,MT,Đà Nẵng,3,26841 - 97860 - 45301 - 26621 - 69766 - 55727
2026-06-05,MT,Đà Nẵng,4,36171 - 53696 - 47454 - 88602 - 80877 - 10820
2026-06-05,MT,Đà Nẵng,5,33551 - 92835 - 13635
2026-06-05,MT,Đà Nẵng,6,91606 - 50424 - 01144
2026-06-05,MT,Đà Nẵng,7,67055 - 47940 - 18797 - 54475
2026-06-05,MT,Đà Nẵng,8,28583
2026-06-05,MT,Khánh Hòa,ĐB,27896
2026-06-05,MT,Khánh Hòa,1,20635
2026-06-05,MT,Khánh Hòa,2,22594
2026-06-05,MT,Khánh Hòa,3,04874 - 36586 - 65152 - 46947 - 73860 - 20009
2026-06-05,MT,Khánh Hòa,4,57042 - 86134 - 47590 - 22878 - 79141 - 34272
2026-06-05,MT,Khánh Hòa,5,47063 - 77147 - 43336
2026-06-05,MT,Khánh Hòa,6,76204 - 18039 - 28830
2026-06-05,MT,Khánh Hòa,7,21929 - 99401 - 90283 - 58884
2026-06-05,MT,Khánh Hòa,8,28902
2026-06-05,MN,TP. HCM,ĐB,42883
2026-06-05,MN,TP. HCM,1,39214
2026-06-05,MN,TP. HCM,2,92754
2026-06-05,MN,TP. HCM,3,48726 - 07906 - 02946 - 21803 - 77826 - 43668
2026-06-05,MN,TP. HCM,4,86649 - 36247 - 08884 - 12968 - 60752 - 30190
2026-06-05,MN,TP. HCM,5,69911 - 82162 - 08779
2026-06-05,MN,TP. HCM,6,83696 - 93986 - 57948
2026-06-05,MN,TP. HCM,7,99881 - 64594 - 82787 - 15979
2026-06-05,MN,TP. HCM,8,69299
2026-06-05,MN,Đồng Tháp,ĐB,17782
2026-06-05,MN,Đồng Tháp,1,88840
2026-06-05,MN,Đồng Tháp,2,98183
2026-06-05,MN,Đồng Tháp,3,48616 - 20982 - 27464 - 80618 - 54204 - 33177
2026-06-05,MN,Đồng Tháp,4,31723 - 51906 - 47858 - 98514 - 46896 - 13793
2026-06-05,MN,Đồng Tháp,5,26184 - 94143 - 51860
2026-06-05,MN,Đồng Tháp,6,65001 - 69586 - 28336
2026-06-05,MN,Đồng Tháp,7,21075 - 39595 - 16984 - 69156
2026-06-05,MN,Đồng Tháp,8,78206
2026-06-05,MN,Cà Mau,ĐB,26510
2026-06-05,MN,Cà Mau,1,58892
2026-06-05,MN,Cà Mau,2,54276
2026-06-05,MN,Cà Mau,3,51716 - 54719 - 31655 - 19544 - 73469 - 17768
2026-06-05,MN,Cà Mau,4,75186 - 66664 - 65304 - 19767 - 73912 - 73906
2026-06-05,MN,Cà Mau,5,62183 - 77329 - 16526
2026-06-05,MN,Cà Mau,6,47782 - 32029 - 80467
2026-06-05,MN,Cà Mau,7,05318 - 49281 - 66700 - 31333
2026-06-05,MN,Cà Mau,8,19832
2026-06-04,MB,Hà Nội,ĐB,92297
2026-06-04,MB,Hà Nội,1,46350
2026-06-04,MB,Hà Nội,2,38693
2026-06-04,MB,Hà Nội,3,87750 - 53223 - 32879 - 67237 - 90361 - 65478
2026-06-04,MB,Hà Nội,4,68660 - 13191 - 41612 - 27747 - 48176 - 55612
2026-06-04,MB,Hà Nội,5,94476 - 42094 - 94277
2026-06-04,MB,Hà Nội,6,43506 - 04432 - 75092
2026-06-04,MB,Hà Nội,7,55341 - 41988 - 91148 - 08617
2026-06-04,MT,Đà Nẵng,ĐB,86118
2026-06-04,MT,Đà Nẵng,1,94838
2026-06-04,MT,Đà Nẵng,2,01482
2026-06-04,MT,Đà Nẵng,3,89395 - 15435 - 93014 - 64301 - 12233 - 99369
2026-06-04,MT,Đà Nẵng,4,26481 - 14706 - 28961 - 91770 - 00192 - 17865
2026-06-04,MT,Đà Nẵng,5,43338 - 23443 - 14616
2026-06-04,MT,Đà Nẵng,6,13540 - 02458 - 22647
2026-06-04,MT,Đà Nẵng,7,38565 - 59618 - 32768 - 15768
2026-06-04,MT,Đà Nẵng,8,54423
2026-06-04,MT,Khánh Hòa,ĐB,02426
2026-06-04,MT,Khánh Hòa,1,58181
2026-06-04,MT,Khánh Hòa,2,84531
2026-06-04,MT,Khánh Hòa,3,46686 - 61107 - 98104 - 99822 - 46823 - 76500
2026-06-04,MT,Khánh Hòa,4,19602 - 72315 - 23646 - 67616 - 72690 - 26056
2026-06-04,MT,Khánh Hòa,5,30174 - 47129 - 80054
2026-06-04,MT,Khánh Hòa,6,42079 - 10092 - 58808
2026-06-04,MT,Khánh Hòa,7,71134 - 89065 - 31888 - 01194
